name,url,description,found_by
zym1119/reinforcement_learning_playground,https://github.com/zym1119/reinforcement_learning_playground,My playground for learning RL,"commit_search: ""generated by Trae"""
plantree/web-title-markdown,https://github.com/plantree/web-title-markdown,Enter a URL to generate a markdown citation with its title.,"commit_search: ""generated by Trae"""
aprendendofelipe/tabnews-app,https://github.com/aprendendofelipe/tabnews-app,,"commit_search: ""generated by Trae"""
Garacc/dance_snake,https://github.com/Garacc/dance_snake,a simple game discovery,"commit_search: ""powered by Trae"""
flamintune/Lark-Robot,https://github.com/flamintune/Lark-Robot,这个仓库用来跑放在飞书里面的机器人，来作为一个提示来用,"commit_search: ""powered by Trae"""
volcanochen/event_display,https://github.com/volcanochen/event_display,,"commit_search: ""powered by Trae"""
