name,url,description,found_by
RyukyuInteractive/boilerplate,https://github.com/RyukyuInteractive/boilerplate,試作品のAIファーストの開発環境です。,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
RyukyuInteractive/sandbox,https://github.com/RyukyuInteractive/sandbox,Webサイトのコードを生成する,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
centminmod/atari-missile-command,https://github.com/centminmod/atari-missile-command,Atari Missile Command Game remake,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
P0ed/5Y-Mission,https://github.com/P0ed/5Y-Mission,4U modular synthesizer,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
Keiji-Miyake/ai-toolbox,https://github.com/Keiji-Miyake/ai-toolbox,AI支援コード生成ツールのルールや設定を管理するプロジェクト,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
RSQ230798/rsq_utils,https://github.com/RSQ230798/rsq_utils,General utility functions,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
negibokken/dotfiles,https://github.com/negibokken/dotfiles,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
cou723/today-google-calendar,https://github.com/cou723/today-google-calendar,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
TheRealMkadmi/laravel-citadel,https://github.com/TheRealMkadmi/laravel-citadel,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
xilu0/uml,https://github.com/xilu0/uml,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
wiz-develop/php-monad,https://github.com/wiz-develop/php-monad,📦 Implemented the concept of monads in functional programming in PHP.,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
eitan567/immersive-planner-server,https://github.com/eitan567/immersive-planner-server,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
SwapLabsInc/satflow-mm,https://github.com/SwapLabsInc/satflow-mm,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
nichiki/python-boilerplate,https://github.com/nichiki/python-boilerplate,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
nichiki/human-like-ai,https://github.com/nichiki/human-like-ai,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
aratama/emoji-frog,https://github.com/aratama/emoji-frog,An easy emoji editor powered by generative AI,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
sasakiy84/harukaze,https://github.com/sasakiy84/harukaze,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
anhdo9797/llm_chat,https://github.com/anhdo9797/llm_chat,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
rikeda71/childcare-support-dashboard,https://github.com/rikeda71/childcare-support-dashboard,The dashboard app to suport childcare,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
DeFiFoFum/voting-escrow-epoch-explorer,https://github.com/DeFiFoFum/voting-escrow-epoch-explorer,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
daikiojm/mastra-playground,https://github.com/daikiojm/mastra-playground,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
sammcj/gollama,https://github.com/sammcj/gollama,Go manage your Ollama models,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
him0/ai-rule-forge,https://github.com/him0/ai-rule-forge,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
farbour/nolkai,https://github.com/farbour/nolkai,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
lunaphilia/protorun,https://github.com/lunaphilia/protorun,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
yukinakai/ai-gijiroku,https://github.com/yukinakai/ai-gijiroku,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
noriaki/re-stock-app,https://github.com/noriaki/re-stock-app,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
pournasserian/RepoRanger,https://github.com/pournasserian/RepoRanger,open-source GitHub repositories searcher and README extractor,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
pournasserian/FluentCMS,https://github.com/pournasserian/FluentCMS,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
ta21cos/thread,https://github.com/ta21cos/thread,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
HALQME/omu-kurobus,https://github.com/HALQME/omu-kurobus,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
HanboyLee/electorn-mircotools,https://github.com/HanboyLee/electorn-mircotools,A tool generated for a micro library,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
arabold/docs-mcp-server,https://github.com/arabold/docs-mcp-server,MCP server for working with 3rd party library documentation,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
timtoronto634/timtoronto634.github.io,https://github.com/timtoronto634/timtoronto634.github.io,My Portfolio,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
amcodin/Powershell_EQL,https://github.com/amcodin/Powershell_EQL,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
umutcanoner/T.E.N.G.R.I.,https://github.com/umutcanoner/T.E.N.G.R.I.,Transparent Equitable Next‐Generation Governance Reform Initiative,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
Theadd/ds3x,https://github.com/Theadd/ds3x,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
maxazure/promptvault,https://github.com/maxazure/promptvault,"A Flask-based prompt management tool designed to help organize, search, and retrieve prompts efficiently.","code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
aipictors/aipictors,https://github.com/aipictors/aipictors,Webサイト,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
atolix/processed,https://github.com/atolix/processed,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc), code_search: filename:.clinerules (indexed desc), code_search: filename:.clinerules (indexed asc)"
