name,url,description,found_by
samskulsky/huntopia-app,https://github.com/samskulsky/huntopia-app," Online multiplayer scavenger hunt game that takes place in real cities. Live location tracking, claim real life zones, AI generated games. ",cursor_config: filename:.cursorignore
rabbit-tale-co/discord-tinyRabbit,https://github.com/rabbit-tale-co/discord-tinyRabbit,,cursor_config: filename:.cursorignore
Noodieknoodie/401K_STREAMLIT,https://github.com/Noodieknoodie/401K_STREAMLIT,,cursor_config: filename:.cursorignore
kurosawa-kuro/infra-devcontainer-aws-cdk-cicd-nodejs,https://github.com/kurosawa-kuro/infra-devcontainer-aws-cdk-cicd-nodejs,,cursor_config: filename:.cursorignore
Jacob-Lasky/ISeeTV,https://github.com/Jacob-Lasky/ISeeTV,A dockerized IPTV client,cursor_config: filename:.cursorignore
diegofornalha/compre.flowpix.com.br,https://github.com/diegofornalha/compre.flowpix.com.br,,cursor_config: filename:.cursorignore
Dreamzlol/RasselBandeClips,https://github.com/Dreamzlol/RasselBandeClips,,cursor_config: filename:.cursorignore
michaelwnau/consequential-products,https://github.com/michaelwnau/consequential-products,Experiments with generative AI applied to defense industry problem statements.,cursor_config: filename:.cursorignore
coding4kicks/up-only,https://github.com/coding4kicks/up-only,Up Only NFTs are a set of experimental NFTs designed to only go up in price!!!,cursor_config: filename:.cursorignore
dixitrathod16/yashasvigiriraj,https://github.com/dixitrathod16/yashasvigiriraj,,cursor_config: filename:.cursorignore
Kiberchaika/The_Blackbird_Dataset,https://github.com/Kiberchaika/The_Blackbird_Dataset,Large scale music dataset.,cursor_config: filename:.cursorignore
Nabla7/PacManGame,https://github.com/Nabla7/PacManGame,,cursor_config: filename:.cursorignore
Luminousis-ai/luminousis.co,https://github.com/Luminousis-ai/luminousis.co,,cursor_config: filename:.cursorignore
saminkhan1/focuscoach,https://github.com/saminkhan1/focuscoach,AI agent designed to help users manage their personal development goals seamlessly through Telegram,cursor_config: filename:.cursorignore
jango-blockchained/aurora_sound_to_light,https://github.com/jango-blockchained/aurora_sound_to_light,,cursor_config: filename:.cursorignore
anthonyamar/geo-stack,https://github.com/anthonyamar/geo-stack,🌍 Geo stack is an opiniated Rails stack to build a modern website without the need to deal with the configuration hell. It includes a handle set of tools to deal with geo-related and fuzzy search features.,cursor_config: filename:.cursorignore
menchan-Rub/School-Hub,https://github.com/menchan-Rub/School-Hub,,cursor_config: filename:.cursorignore
voiceflow-gallagan/poc-twilio-call-recorder,https://github.com/voiceflow-gallagan/poc-twilio-call-recorder,,cursor_config: filename:.cursorignore
