name,url,description,found_by
miccy/miccy-lynx-playground,https://github.com/miccy/miccy-lynx-playground,My experiments on the new Lynx framework.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
JoshJarabek7/witch-house-crm,https://github.com/JoshJarabek7/witch-house-crm,"Modern AI-powered CRM system built with Next.js, Supabase, and LangChain. Features intelligent ticket routing, automated responses, and a beautiful Shadcn UI with boho influences.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
diko0071/telegram2notion,https://github.com/diko0071/telegram2notion,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
medz/block,https://github.com/medz/block,A flexible and efficient binary data block handling library for Dart.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
ZIT-P22/IP-Atlas,https://github.com/ZIT-P22/IP-Atlas,"IP Navigator ist eine Flask-Anwendung für die unkomplizierte Verwaltung von IP-Adressen in großen Netzwerken. Benutzer können Adressen speichern, Namen zuweisen und durch die Oktetten-Sortierung den Überblick behalten. Ideal für Netzwerkadministratoren, bietet eine benutzerfreundliche Oberfläche und Netzwerkstatistiken.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Wangshengyang2004/DiffUSE,https://github.com/Wangshengyang2004/DiffUSE,DiffUSE: Diffusion-Based State Estimation for Agile UAVs with Low-Cost Sim-to-Real Transfer Using Multi-Modal Sensors,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
mpechner/cursorplay,https://github.com/mpechner/cursorplay,playground to learn about using cursor.ai,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
zackiles/deno-kit,https://github.com/zackiles/deno-kit,"The modern, unopinionated, and AI-native way to quickly scaffold and maintain Deno projects.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
DanielFryy/discord_bot_igj,https://github.com/DanielFryy/discord_bot_igj,discord bot for my personal use,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
rmbrntt/ryanbarnett.dev,https://github.com/rmbrntt/ryanbarnett.dev,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
JurgenHasmeta22/movielandia,https://github.com/JurgenHasmeta22/movielandia,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
cgint/third-eye,https://github.com/cgint/third-eye,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
coding4kicks/up-only,https://github.com/coding4kicks/up-only,Up Only NFTs are a set of experimental NFTs designed to only go up in price!!!,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
robertoloja/mandarin-app,https://github.com/robertoloja/mandarin-app,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
wonderful123/Oil-Changer,https://github.com/wonderful123/Oil-Changer,Oil Changer main control,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
kevindjeradi/MobileReader,https://github.com/kevindjeradi/MobileReader,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
alexfosterinvisible/vellum-workflows-sdk,https://github.com/alexfosterinvisible/vellum-workflows-sdk,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Jacaplaca/catering,https://github.com/Jacaplaca/catering,Application for making orders and diets,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
hormones/cf-paste,https://github.com/hormones/cf-paste,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
ababkin/ssh-remote-box-mock,https://github.com/ababkin/ssh-remote-box-mock,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
devtbit/llm-invisible-ascii-poc,https://github.com/devtbit/llm-invisible-ascii-poc,PoC for ASCII smuggling,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
fcxmarquez/whisper-transcript,https://github.com/fcxmarquez/whisper-transcript,A straightforward project for transcript audio files using the last version of Whisper,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
hoduyquocbao/Link,https://github.com/hoduyquocbao/Link,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
rodrez/ae,https://github.com/rodrez/ae,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
amin-nexea/laravel_vue_inertia_tailwind,https://github.com/amin-nexea/laravel_vue_inertia_tailwind,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
jango-blockchained/aurora_sound_to_light,https://github.com/jango-blockchained/aurora_sound_to_light,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
afedotov89/django-assistant-bot,https://github.com/afedotov89/django-assistant-bot,"A framework for AI chatbots with LLM integration, async message queues, testing tools, etc.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
TheDeGeO/MPointers2,https://github.com/TheDeGeO/MPointers2,Memory management system,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
fatih-yavuz/cursorruler,https://github.com/fatih-yavuz/cursorruler,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
VanDeBenn/heavens-travel-next,https://github.com/VanDeBenn/heavens-travel-next,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
AshtonIzmev/tmp_formation,https://github.com/AshtonIzmev/tmp_formation,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Ellipog/Critter,https://github.com/Ellipog/Critter,Critter: Made for practicing and learning. ,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
carmandale/pepsi_blender_comp,https://github.com/carmandale/pepsi_blender_comp,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
vkhangpham/glossary,https://github.com/vkhangpham/glossary,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
kc0588615/pygameGUI,https://github.com/kc0588615/pygameGUI,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
sdfgsdfgd/frontend-next,https://github.com/sdfgsdfgd/frontend-next,Next (React) Frontend,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
david-ruffin/sec-tools-and-agent,https://github.com/david-ruffin/sec-tools-and-agent,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
uakbr/fiqh-council-youths,https://github.com/uakbr/fiqh-council-youths,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
syntraprogrammeurs/laravelblogklas2025,https://github.com/syntraprogrammeurs/laravelblogklas2025,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
T1nker-1220/accountant-suite,https://github.com/T1nker-1220/accountant-suite,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
silveralcid/Idle-Buds,https://github.com/silveralcid/Idle-Buds,"In a unique mashup that combines the best of Palworld and Melvor Idle, Idle Buds is inspired by the charm of creature-collecting adventures and the convenience of idle progression games.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
MohitBhimrajka/business-reconciliation,https://github.com/MohitBhimrajka/business-reconciliation,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
arturiaxnight/MJRL,https://github.com/arturiaxnight/MJRL,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
housemeow/todo-list,https://github.com/housemeow/todo-list,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
TerminallyLazy/Novion,https://github.com/TerminallyLazy/Novion,AI Powered Radiology Assistant,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
lxn5596/KeyMouse,https://github.com/lxn5596/KeyMouse,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
chuanshuoye/local-ai-chat,https://github.com/chuanshuoye/local-ai-chat,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
AdityaBorkar/blunt,https://github.com/AdityaBorkar/blunt,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
zackiles/module-to-cli,https://github.com/zackiles/module-to-cli,Invoke methods on a plain Typescript file through your terminal.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Gv-vignesh/micronautservice,https://github.com/Gv-vignesh/micronautservice,micronautservice and react applicaiton,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
