name,url,description,found_by
trypear/pearai-app,https://github.com/trypear/pearai-app,,"issue_search: ""PearAI suggestion"" (2024-07-01 to 2024-12-31)"
trypear/pearai-documentation,https://github.com/trypear/pearai-documentation,,"issue_search: ""PearAI suggestion"" (2024-07-01 to 2024-12-31)"
marimo-team/marimo,https://github.com/marimo-team/marimo,,"issue_search: ""PearAI suggestion"" (2025-01-01 to 2025-06-30)"
purpom-media-lab/amplify-data-migration,https://github.com/purpom-media-lab/amplify-data-migration,,"issue_search: ""generated by Pear AI"" (2024-07-01 to 2024-12-31)"
FlatFilers/flatfile-core-libraries,https://github.com/FlatFilers/flatfile-core-libraries,,"issue_search: ""generated by Pear AI"" (2024-07-01 to 2024-12-31)"
trypear/pear-landing-page,https://github.com/trypear/pear-landing-page,,"issue_search: ""powered by PearAI"" (2025-01-01 to 2025-06-30)"
trypear/pearai-submodule,https://github.com/trypear/pearai-submodule,,"issue_search: ""powered by PearAI"" (2025-01-01 to 2025-06-30)"
